"GOOGL.Open","GOOGL.High","GOOGL.Low","GOOGL.Close","GOOGL.Volume","GOOGL.Adjusted","date"
597.933,606.371,597.127,606.236206,3626300,606.236206,"2014-03-18"
253.228,253.504,243.113,243.46347,16728800,243.46347,"2008-02-25"
596.95,596.99,593,595.409973,967300,595.409973,"2014-08-20"
347.843,350.716,346.877,350.715729,3253500,350.715729,"2007-12-24"
233.298,234.319,232.598,233.638641,5804300,233.638641,"2007-05-08"
203.704,208.158,203.458,208.093094,6082900,208.093094,"2009-06-25"
409.66,410.561,407.077,407.557556,6193200,407.557556,"2013-03-15"
301.126,305.105,298.859,305.035034,6349800,305.035034,"2012-05-23"
554.49,554.83,549.17,550.039978,1293600,550.039978,"2015-06-11"
203.894,214.409,203.068,213.963959,45437300,213.963959,"2006-01-23"
823.01,826.58,814.61,817.349976,2973500,817.349976,"2016-10-27"
580.581,581.827,577.763,580.630615,3894300,580.630615,"2014-01-23"
516.266,516.702,511.527,513.568542,2275300,513.568542,"2013-11-04"
234.469,236.612,232.588,236.286285,8127000,236.286285,"2007-02-20"
310.16,310.235,307.412,308.9039,4518600,308.9039,"2010-11-11"
181.481,182.057,177.833,179.504501,7352800,179.504501,"2009-04-07"
336.977,338.083,318.453,321.161163,16173200,321.161163,"2007-11-14"
769.16,774,767,771.969971,721700,771.969971,"2015-11-27"
595.13,598.5,593.55,597.780029,1799100,597.780029,"2014-09-05"
301.326,302.237,299.304,299.759766,2127400,299.759766,"2010-12-28"
543.67,544.8,528.13,537.51001,1955700,537.51001,"2014-04-23"
324.099,324.82,312.082,312.61261,16302200,312.61261,"2012-04-13"
592.26,594.15,589.11,590.780029,1195800,590.780029,"2014-07-02"
260.135,263.514,256.512,257.787781,21239700,257.787781,"2007-06-07"
145.796,146.311,142.583,142.982986,13744200,142.982986,"2005-08-10"
245.195,248.549,243.108,243.368362,4434900,243.368362,"2010-06-22"
553.79,555.76,550.8,554.179993,1177200,554.179993,"2015-05-28"
357.342,359.77,355.616,358.173187,7044900,358.173187,"2012-12-21"
807.05,810.88,806.49,808.48999,918500,808.48999,"2016-08-10"
547,549.6,544.48,549.080017,1210100,549.080017,"2014-11-28"
